months_as_customer,age,policy_state,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,incident_type,incident_severity,authorities_contacted,incident_state,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
324,46,IN,897.89,MALE,MD,tech-support,Single Vehicle Collision,Minor Damage,Other,PA,1,1,0,79600,15920,15920,47760,Jeep,2011,N
155,34,IN,1706.79,MALE,Masters,protective-serv,Single Vehicle Collision,Minor Damage,Ambulance,OH,1,1,1,77040,8560,8560,59920,Honda,1998,N
261,45,IL,1254.18,FEMALE,PhD,prof-specialty,Single Vehicle Collision,Minor Damage,Fire,SC,1,0,1,62590,11380,11380,39830,Volkswagen,2003,N
245,40,IN,885.08,FEMALE,Masters,armed-forces,Single Vehicle Collision,Total Loss,Other,WV,1,0,1,85150,13100,13100,58950,Chevrolet,1998,N
235,39,IL,1046.58,MALE,MD,tech-support,Vehicle Theft,Trivial Damage,None,NY,1,2,1,4950,450,900,3600,Chevrolet,2010,N
53,36,OH,1712.68,MALE,Associate,handlers-cleaners,Multi-vehicle Collision,Major Damage,Fire,VA,3,2,0,51100,10220,5110,35770,Audi,2006,N
426,54,IL,1097.71,FEMALE,Masters,adm-clerical,Single Vehicle Collision,Minor Damage,Police,SC,1,2,3,100800,16800,16800,67200,Dodge,1997,N
111,27,IN,1363.77,FEMALE,Masters,tech-support,Single Vehicle Collision,Total Loss,Police,VA,1,2,3,90970,16540,16540,57890,Accura,2009,N
86,26,OH,1382.88,MALE,JD,tech-support,Single Vehicle Collision,Minor Damage,Police,SC,1,1,1,81840,14880,7440,59520,Chevrolet,2011,Y
296,46,OH,1141.35,MALE,Masters,craft-repair,Single Vehicle Collision,Major Damage,Ambulance,NY,1,0,2,54900,5490,5490,43920,Mercedes,2013,N
125,35,OH,1054.83,MALE,JD,tech-support,Single Vehicle Collision,Total Loss,Fire,NY,1,2,3,88660,8060,16120,64480,Mercedes,2007,Y
177,34,IL,1057.77,FEMALE,JD,tech-support,Multi-vehicle Collision,Total Loss,Ambulance,NC,3,1,1,18000,2250,2250,13500,Audi,2009,N
238,39,IN,1488.02,FEMALE,JD,protective-serv,Vehicle Theft,Minor Damage,Police,NY,1,1,3,5500,1100,550,3850,Chevrolet,2010,N
81,25,IN,920.3,FEMALE,High School,tech-support,Multi-vehicle Collision,Major Damage,Other,WV,3,1,0,73920,13440,6720,53760,Honda,2003,Y
128,28,OH,986.53,FEMALE,High School,adm-clerical,Single Vehicle Collision,Total Loss,Ambulance,VA,1,0,2,101860,18520,18520,64820,Honda,2007,N
449,57,OH,1440.68,MALE,Associate,tech-support,Parked Car,Minor Damage,None,SC,1,0,1,5390,980,980,3430,Volkswagen,2008,N
252,39,IN,1086.21,MALE,JD,farming-fishing,Single Vehicle Collision,Minor Damage,Police,SC,1,1,2,50490,5610,5610,39270,Nissan,2001,N
359,47,OH,1367.68,FEMALE,MD,handlers-cleaners,Single Vehicle Collision,Total Loss,Police,SC,1,0,3,55500,5550,11100,38850,Mercedes,2012,N
19,32,OH,1215.85,MALE,High School,other-service,Vehicle Theft,Minor Damage,Police,VA,1,1,1,7040,1280,640,5120,Nissan,2015,N
73,26,IL,1191.19,MALE,MD,farming-fishing,Multi-vehicle Collision,Total Loss,Other,VA,3,0,1,40160,5020,0,35140,Chevrolet,2003,N
285,44,IL,1594.45,MALE,High School,handlers-cleaners,Multi-vehicle Collision,Total Loss,Fire,NC,2,2,3,55680,6960,6960,41760,Saab,2006,N
196,36,IN,1463.07,MALE,MD,armed-forces,Vehicle Theft,Trivial Damage,Police,WV,1,1,1,5300,530,530,4240,Jeep,2001,Y
223,43,OH,1734.09,FEMALE,MD,adm-clerical,Parked Car,Trivial Damage,None,WV,1,0,3,5200,650,650,3900,Accura,2006,N
328,48,IL,1411.43,MALE,Masters,armed-forces,Single Vehicle Collision,Major Damage,Ambulance,NY,1,2,1,59400,5940,11880,41580,Honda,2014,N
285,43,OH,1512.58,FEMALE,College,sales,Vehicle Theft,Minor Damage,Police,SC,1,1,1,2520,280,280,1960,BMW,1997,N
30,31,IL,1153.35,MALE,PhD,craft-repair,Vehicle Theft,Trivial Damage,Police,NY,1,2,1,5760,960,960,3840,Suburu,2011,N
342,49,OH,1722.95,MALE,PhD,transport-moving,Single Vehicle Collision,Minor Damage,Fire,WV,1,2,0,76700,7670,7670,61360,Suburu,2006,N
219,39,IN,1281.07,FEMALE,High School,protective-serv,Parked Car,Trivial Damage,Police,NY,1,0,2,5920,740,740,4440,Chevrolet,2015,N
468,62,IL,1011.92,MALE,PhD,machine-op-inspct,Multi-vehicle Collision,Major Damage,Fire,SC,3,0,3,64350,7150,7150,50050,Chevrolet,2009,N
241,39,IL,1042.26,MALE,JD,sales,Multi-vehicle Collision,Total Loss,Ambulance,WV,3,1,2,19080,4240,2120,12720,Saab,1995,N
223,43,OH,1235.1,FEMALE,Masters,tech-support,Single Vehicle Collision,Minor Damage,Police,SC,1,2,1,54400,5440,5440,43520,BMW,2011,N
128,32,OH,768.91,FEMALE,College,sales,Single Vehicle Collision,Total Loss,Fire,SC,1,1,0,59800,5980,5980,47840,Ford,1999,Y
124,29,OH,1301.72,MALE,Masters,handlers-cleaners,Multi-vehicle Collision,Major Damage,Police,VA,3,0,3,72000,7200,7200,57600,Audi,2005,N
343,48,IN,1451.54,MALE,JD,adm-clerical,Multi-vehicle Collision,Total Loss,Police,SC,4,2,3,65070,7230,14460,43380,Mercedes,2003,N
404,53,IN,767.14,MALE,Associate,sales,Parked Car,Trivial Damage,Police,WV,1,0,1,8800,1760,880,6160,Suburu,2002,N
63,24,OH,1620.89,FEMALE,High School,handlers-cleaners,Vehicle Theft,Minor Damage,Police,NC,1,2,0,6120,1020,1020,4080,Toyota,2015,N
210,37,IN,1048.46,MALE,High School,priv-house-serv,Vehicle Theft,Trivial Damage,None,OH,1,1,2,7080,1180,590,5310,Dodge,1999,N
335,50,OH,1538.26,MALE,High School,sales,Multi-vehicle Collision,Minor Damage,Ambulance,NY,3,2,3,34320,8580,4290,21450,Volkswagen,2009,N
11,40,OH,1217.69,FEMALE,MD,prof-specialty,Multi-vehicle Collision,Major Damage,Other,SC,3,1,0,53460,9720,9720,34020,Dodge,2004,Y
142,33,IN,1362.64,FEMALE,JD,exec-managerial,Single Vehicle Collision,Total Loss,Other,NC,1,1,3,81360,6780,13560,61020,Suburu,2009,Y
272,43,OH,1279.13,MALE,PhD,craft-repair,Multi-vehicle Collision,Minor Damage,Ambulance,NC,3,1,2,81070,7370,14740,58960,Audi,2006,Y
69,26,IL,924.72,FEMALE,High School,machine-op-inspct,Single Vehicle Collision,Minor Damage,Fire,NY,1,2,2,63120,5260,10520,47340,Audi,2008,N
38,28,OH,1019.44,MALE,Masters,transport-moving,Vehicle Theft,Trivial Damage,None,NC,1,2,1,7200,1440,720,5040,BMW,2004,N
328,46,IL,1314.6,FEMALE,MD,prof-specialty,Single Vehicle Collision,Total Loss,Other,WV,1,2,3,70290,12780,6390,51120,Saab,1998,Y
281,43,OH,1515.18,MALE,College,priv-house-serv,Multi-vehicle Collision,Minor Damage,Fire,SC,3,1,0,60190,9260,9260,41670,BMW,1999,N
246,44,OH,1649.18,MALE,College,farming-fishing,Single Vehicle Collision,Major Damage,Other,NY,1,1,2,61380,11160,5580,44640,Honda,2009,Y
298,49,OH,1451.01,FEMALE,College,other-service,Single Vehicle Collision,Minor Damage,Ambulance,NY,1,2,2,28100,2810,5620,19670,Jeep,2012,N
330,50,IL,978.46,FEMALE,High School,sales,Single Vehicle Collision,Total Loss,Fire,NY,1,0,0,49060,8920,8920,31220,Chevrolet,1995,N
362,50,IL,1198.34,MALE,Associate,sales,Multi-vehicle Collision,Total Loss,Fire,NY,3,1,1,57060,6340,6340,44380,Mercedes,1995,N
241,38,IN,1003.23,FEMALE,Associate,tech-support,Multi-vehicle Collision,Major Damage,Fire,VA,3,0,3,77880,12980,12980,51920,Accura,2008,N
245,41,IN,1212,MALE,Masters,exec-managerial,Single Vehicle Collision,Total Loss,Ambulance,NY,1,0,1,73500,7350,14700,51450,Jeep,1999,N
371,52,IL,1242.96,FEMALE,High School,other-service,Multi-vehicle Collision,Minor Damage,Other,NY,2,2,0,88920,6840,13680,68400,Accura,2010,N
343,52,IL,1053.02,FEMALE,Associate,prof-specialty,Single Vehicle Collision,Major Damage,Other,NY,1,0,2,47630,12990,4330,30310,Toyota,2005,Y
377,53,IL,1693.63,FEMALE,MD,craft-repair,Multi-vehicle Collision,Total Loss,Fire,WV,3,1,3,59040,6560,6560,45920,Saab,2015,N
154,37,IL,2047.59,FEMALE,MD,farming-fishing,Single Vehicle Collision,Minor Damage,Other,SC,1,0,3,79530,14460,7230,57840,Accura,2000,N
166,34,OH,1083.72,FEMALE,High School,machine-op-inspct,Single Vehicle Collision,Total Loss,Other,NY,1,0,2,53680,4880,4880,43920,Honda,2005,N
298,46,OH,1138.42,MALE,JD,prof-specialty,Single Vehicle Collision,Minor Damage,Police,SC,1,2,3,33550,3050,6100,24400,Volkswagen,2005,N
235,42,IN,1072.62,FEMALE,Masters,machine-op-inspct,Multi-vehicle Collision,Total Loss,Other,WV,4,2,1,69100,6910,6910,55280,Toyota,2006,N
172,35,IL,1219.04,MALE,MD,handlers-cleaners,Multi-vehicle Collision,Major Damage,Police,OH,3,2,0,79750,14500,14500,50750,Nissan,1999,N
27,28,IN,1371.78,MALE,JD,farming-fishing,Multi-vehicle Collision,Major Damage,Other,PA,3,0,2,53600,5360,10720,37520,Audi,2015,Y
428,54,IN,1506.21,MALE,Masters,transport-moving,Multi-vehicle Collision,Minor Damage,Fire,NY,3,1,0,76560,12760,6380,57420,Nissan,2009,N
99,32,IN,1058.21,MALE,JD,craft-repair,Single Vehicle Collision,Total Loss,Fire,NY,1,1,1,41130,4570,4570,31990,Dodge,1999,N
107,26,IL,932.14,MALE,MD,sales,Multi-vehicle Collision,Total Loss,Fire,SC,3,2,3,78650,14300,7150,57200,Audi,1996,Y
272,41,OH,1608.34,FEMALE,Associate,farming-fishing,Single Vehicle Collision,Major Damage,Other,NY,1,1,1,71060,6460,12920,51680,Saab,2010,N
151,37,IN,1728.56,FEMALE,Masters,farming-fishing,Single Vehicle Collision,Minor Damage,Fire,WV,1,1,1,38830,3530,3530,31770,Suburu,1999,N
249,43,IL,1518.46,FEMALE,MD,armed-forces,Single Vehicle Collision,Major Damage,Fire,SC,1,0,0,53500,5350,5350,42800,Saab,2015,N
177,38,IL,1540.19,FEMALE,College,adm-clerical,Single Vehicle Collision,Major Damage,Other,VA,1,2,0,73700,7370,7370,58960,Chevrolet,2001,Y
190,40,OH,965.21,FEMALE,JD,exec-managerial,Parked Car,Trivial Damage,None,SC,1,2,1,6300,630,630,5040,Nissan,2001,N
174,36,IL,1278.75,FEMALE,College,tech-support,Multi-vehicle Collision,Total Loss,Ambulance,NY,3,2,2,65400,10900,10900,43600,Dodge,2012,N
95,28,OH,773.99,MALE,Associate,armed-forces,Vehicle Theft,Trivial Damage,None,PA,1,1,2,3200,640,320,2240,Mercedes,2014,N
371,51,IN,1532.47,FEMALE,Associate,tech-support,Single Vehicle Collision,Major Damage,Fire,NY,1,0,3,75400,7540,15080,52780,Dodge,2012,Y
2,28,IL,1340.56,FEMALE,JD,machine-op-inspct,Single Vehicle Collision,Minor Damage,Fire,NY,1,0,2,58140,6460,6460,45220,Saab,2008,N
269,44,OH,1297.75,FEMALE,JD,other-service,Multi-vehicle Collision,Total Loss,Ambulance,SC,3,0,1,98670,15180,15180,68310,Chevrolet,2010,Y
101,27,IL,433.33,MALE,Masters,machine-op-inspct,Parked Car,Minor Damage,None,SC,1,0,3,5900,1180,590,4130,Mercedes,2009,N
94,30,IN,1025.54,FEMALE,High School,armed-forces,Single Vehicle Collision,Major Damage,Fire,NC,1,1,3,64100,6410,6410,51280,Chevrolet,2001,N
117,28,OH,1264.77,FEMALE,Associate,transport-moving,Multi-vehicle Collision,Total Loss,Fire,SC,2,0,1,55440,5040,10080,40320,Suburu,2009,Y
111,27,OH,1459.97,MALE,MD,sales,Multi-vehicle Collision,Major Damage,Police,SC,3,1,2,80850,7350,14700,58800,Ford,2011,Y
242,40,OH,1238.65,FEMALE,High School,transport-moving,Vehicle Theft,Trivial Damage,Police,WV,1,1,1,7480,680,680,6120,Saab,1998,N
440,61,OH,1050.76,MALE,PhD,transport-moving,Single Vehicle Collision,Major Damage,Fire,OH,1,2,3,53640,5960,5960,41720,Nissan,2004,Y
20,23,OH,1711.72,FEMALE,JD,tech-support,Multi-vehicle Collision,Major Damage,Fire,SC,3,2,2,63250,5750,11500,46000,Chevrolet,2002,Y
461,57,IL,865.33,FEMALE,High School,farming-fishing,Multi-vehicle Collision,Major Damage,Ambulance,NY,3,0,1,59040,9840,9840,39360,Dodge,1995,N
208,36,IL,1153.49,MALE,Associate,craft-repair,Multi-vehicle Collision,Total Loss,Other,SC,3,1,0,50500,10100,5050,35350,Accura,2004,N
279,43,OH,1281.25,MALE,Associate,machine-op-inspct,Single Vehicle Collision,Major Damage,Police,SC,1,0,1,57690,6410,12820,38460,Mercedes,2010,Y
244,40,IL,1342.8,FEMALE,MD,sales,Vehicle Theft,Trivial Damage,Police,NY,1,1,3,5940,660,660,4620,Toyota,2014,N
134,30,OH,1443.32,FEMALE,PhD,exec-managerial,Multi-vehicle Collision,Major Damage,Fire,SC,3,0,2,47790,5310,5310,37170,Suburu,1995,Y
122,29,OH,1629.94,FEMALE,Masters,priv-house-serv,Parked Car,Trivial Damage,None,SC,1,0,1,3850,350,350,3150,Dodge,2014,N
156,31,IL,1134.08,MALE,PhD,other-service,Single Vehicle Collision,Major Damage,Police,NC,1,2,0,59000,5900,5900,47200,Ford,2013,Y
232,43,OH,1483.91,MALE,College,machine-op-inspct,Multi-vehicle Collision,Major Damage,Ambulance,NY,3,0,1,70600,7060,14120,49420,Volkswagen,2013,Y
244,40,IN,1304.67,MALE,Masters,armed-forces,Multi-vehicle Collision,Minor Damage,Police,SC,3,1,1,61490,5590,11180,44720,Dodge,2001,N
84,30,IL,1035.79,FEMALE,MD,protective-serv,Single Vehicle Collision,Minor Damage,Police,SC,1,1,0,57640,5240,10480,41920,Volkswagen,2010,N
394,57,IL,1401.2,FEMALE,High School,craft-repair,Vehicle Theft,Trivial Damage,Police,NC,1,1,0,6890,1060,1060,4770,Audi,1999,N
246,45,IL,1665.45,MALE,JD,machine-op-inspct,Multi-vehicle Collision,Major Damage,Fire,PA,3,2,2,53280,11840,5920,35520,Toyota,2006,Y
35,29,IN,653.66,FEMALE,JD,handlers-cleaners,Multi-vehicle Collision,Minor Damage,Fire,SC,3,0,0,78300,15660,7830,54810,BMW,2009,N
156,37,OH,1080.13,MALE,Associate,protective-serv,Multi-vehicle Collision,Major Damage,Ambulance,PA,3,0,3,41490,4610,4610,32270,Nissan,2001,N
195,36,IN,1346.18,FEMALE,Associate,machine-op-inspct,Multi-vehicle Collision,Total Loss,Fire,SC,3,2,3,68970,12540,6270,50160,Chevrolet,2007,N
369,55,OH,1589.54,MALE,College,handlers-cleaners,Multi-vehicle Collision,Minor Damage,Police,VA,3,2,0,85300,17060,8530,59710,Toyota,2003,N
271,40,IL,1251.65,FEMALE,Associate,other-service,Parked Car,Minor Damage,None,NY,1,0,0,3080,560,280,2240,Audi,2012,N
332,47,IL,1083.01,MALE,MD,craft-repair,Multi-vehicle Collision,Major Damage,Police,WV,4,2,0,71760,11040,11040,49680,Jeep,2010,Y
107,26,OH,974.59,FEMALE,JD,armed-forces,Multi-vehicle Collision,Minor Damage,Ambulance,NY,3,1,0,59700,11940,11940,35820,Nissan,2002,N
217,39,IL,1399.85,FEMALE,Masters,other-service,Multi-vehicle Collision,Minor Damage,Fire,NY,3,0,2,64920,10820,10820,43280,Ford,1997,N
243,43,IN,1307.74,FEMALE,Associate,machine-op-inspct,Multi-vehicle Collision,Major Damage,Ambulance,SC,3,0,1,37530,4170,4170,29190,Jeep,2008,N
296,42,IN,1219.27,MALE,Associate,tech-support,Multi-vehicle Collision,Total Loss,Ambulance,WV,3,1,2,64080,7120,7120,49840,Saab,2012,N
264,41,OH,1411.3,MALE,PhD,prof-specialty,Single Vehicle Collision,Minor Damage,Other,PA,1,1,0,60390,10980,5490,43920,BMW,2004,Y
108,33,IL,694.45,FEMALE,JD,armed-forces,Multi-vehicle Collision,Major Damage,Police,WV,3,0,1,64350,5850,11700,46800,Nissan,2011,Y
32,38,IL,1006.77,FEMALE,College,other-service,Multi-vehicle Collision,Minor Damage,Police,SC,3,2,1,70900,14180,7090,49630,BMW,1997,N
259,39,OH,1422.36,FEMALE,JD,craft-repair,Multi-vehicle Collision,Minor Damage,Fire,PA,3,1,3,46560,7760,7760,31040,Nissan,2012,N
186,33,IN,1348.32,FEMALE,Associate,craft-repair,Vehicle Theft,Trivial Damage,Police,NY,1,2,1,4730,860,860,3010,Chevrolet,2013,Y
201,40,OH,1315.56,FEMALE,PhD,transport-moving,Vehicle Theft,Minor Damage,Police,SC,1,0,0,6820,1240,1240,4340,Jeep,2003,N
436,58,OH,1407.01,MALE,PhD,tech-support,Single Vehicle Collision,Major Damage,Police,WV,1,0,2,59900,11980,5990,41930,BMW,1997,Y
189,36,OH,1388.58,FEMALE,MD,priv-house-serv,Multi-vehicle Collision,Major Damage,Police,WV,3,1,3,79560,13260,13260,53040,Ford,2009,N
105,33,IL,1310.76,FEMALE,High School,adm-clerical,Single Vehicle Collision,Total Loss,Other,VA,1,0,1,70290,12780,6390,51120,Accura,2008,N
163,31,IN,1004.63,MALE,JD,priv-house-serv,Multi-vehicle Collision,Total Loss,Ambulance,SC,3,2,0,63910,5810,11620,46480,Suburu,1999,N
219,40,OH,1134.91,FEMALE,Associate,transport-moving,Vehicle Theft,Trivial Damage,None,SC,1,1,0,6400,640,640,5120,Toyota,1997,N
88,25,IN,1194,FEMALE,JD,handlers-cleaners,Single Vehicle Collision,Major Damage,Ambulance,SC,1,1,2,66780,7420,7420,51940,Ford,2013,Y
40,39,IN,1248.25,FEMALE,College,sales,Parked Car,Minor Damage,Police,VA,1,0,2,8760,1460,1460,5840,BMW,2013,N
284,42,OH,1338.54,MALE,Associate,machine-op-inspct,Single Vehicle Collision,Major Damage,Ambulance,NC,1,0,1,94160,8560,17120,68480,Chevrolet,1996,N
59,40,IL,782.23,MALE,College,protective-serv,Multi-vehicle Collision,Total Loss,Ambulance,OH,3,0,2,51570,5730,11460,34380,BMW,2010,N
39,31,IL,1366.9,FEMALE,High School,handlers-cleaners,Multi-vehicle Collision,Major Damage,Fire,NC,3,1,0,52700,10540,10540,31620,BMW,2014,Y
147,34,IL,1275.81,MALE,High School,sales,Single Vehicle Collision,Minor Damage,Fire,NY,1,2,2,101010,15540,15540,69930,Mercedes,1998,N
156,37,IN,1090.65,MALE,High School,exec-managerial,Multi-vehicle Collision,Minor Damage,Police,NC,4,1,2,53400,5340,5340,42720,Honda,2010,Y
123,31,IN,1326,FEMALE,Associate,prof-specialty,Single Vehicle Collision,Total Loss,Fire,SC,1,1,2,72120,12020,12020,48080,Mercedes,2009,N
231,43,IL,972.47,MALE,College,protective-serv,Multi-vehicle Collision,Minor Damage,Police,PA,3,2,2,77100,7710,15420,53970,Audi,2010,N
247,39,IL,806.31,FEMALE,College,handlers-cleaners,Parked Car,Trivial Damage,Police,SC,1,2,3,3300,600,0,2700,Dodge,2003,N
194,35,IL,1416.24,FEMALE,MD,adm-clerical,Parked Car,Minor Damage,None,WV,1,1,0,5940,1080,540,4320,Nissan,2003,N
119,27,IN,1097.64,MALE,High School,transport-moving,Multi-vehicle Collision,Major Damage,Other,PA,2,1,0,63720,7080,21240,35400,Accura,2006,N
259,43,IL,947.75,FEMALE,Masters,farming-fishing,Vehicle Theft,Trivial Damage,Police,SC,1,1,3,7680,1280,640,5760,Audi,2008,N
107,31,IL,1018.73,MALE,Associate,handlers-cleaners,Multi-vehicle Collision,Total Loss,Police,NY,3,1,2,93730,14420,21630,57680,Honda,2001,N
48,44,IL,1400.74,MALE,College,sales,Multi-vehicle Collision,Major Damage,Police,NC,3,0,2,87300,17460,17460,52380,Jeep,2013,N
267,40,IL,1155.53,MALE,JD,transport-moving,Parked Car,Trivial Damage,Police,NY,1,0,2,5670,1260,630,3780,Ford,1997,N
286,47,IN,1386.93,MALE,High School,priv-house-serv,Multi-vehicle Collision,Minor Damage,Other,NY,3,0,0,65800,13160,6580,46060,Accura,2001,N
175,34,OH,915.29,FEMALE,JD,handlers-cleaners,Single Vehicle Collision,Major Damage,Other,NY,1,2,1,36720,4080,4080,28560,Honda,2009,Y
111,29,IL,1239.55,FEMALE,PhD,farming-fishing,Single Vehicle Collision,Major Damage,Fire,SC,1,1,1,52800,4800,9600,38400,Mercedes,1996,Y
151,37,IN,1366.42,FEMALE,Associate,protective-serv,Multi-vehicle Collision,Total Loss,Fire,SC,3,1,2,59100,5910,5910,47280,Nissan,1998,Y
156,37,OH,1086.48,MALE,Associate,machine-op-inspct,Multi-vehicle Collision,Total Loss,Other,NY,3,1,1,77440,14080,7040,56320,Suburu,1999,N
165,36,IL,1247.87,MALE,Masters,armed-forces,Multi-vehicle Collision,Total Loss,Fire,NY,3,2,2,45700,4570,4570,36560,BMW,2008,N
253,41,OH,1312.75,FEMALE,PhD,sales,Multi-vehicle Collision,Major Damage,Other,SC,3,2,2,80740,7340,14680,58720,Toyota,2014,Y
10,26,IN,765.64,MALE,MD,sales,Multi-vehicle Collision,Major Damage,Ambulance,SC,3,0,3,31350,2850,5700,22800,Honda,2001,Y
158,33,OH,1327.41,FEMALE,Associate,handlers-cleaners,Single Vehicle Collision,Total Loss,Other,SC,1,0,0,35000,3500,7000,24500,Suburu,2012,N
436,59,OH,1338.55,MALE,PhD,protective-serv,Multi-vehicle Collision,Total Loss,Police,WV,3,2,2,68000,13600,6800,47600,Toyota,2014,N
91,30,IL,1316.63,FEMALE,Masters,machine-op-inspct,Multi-vehicle Collision,Minor Damage,Other,SC,3,2,0,84500,13000,13000,58500,BMW,2009,N
256,42,IL,1286.44,FEMALE,MD,transport-moving,Single Vehicle Collision,Minor Damage,Police,WV,1,2,1,75500,7550,15100,52850,Nissan,1998,N
274,46,OH,1372.18,MALE,High School,exec-managerial,Multi-vehicle Collision,Total Loss,Other,WV,3,1,3,90600,15100,15100,60400,BMW,2009,N
275,45,IN,1447.77,FEMALE,Associate,adm-clerical,Multi-vehicle Collision,Total Loss,Ambulance,VA,3,1,1,64320,5360,10720,48240,Accura,1998,N
1,33,IL,903.32,FEMALE,High School,transport-moving,Multi-vehicle Collision,Minor Damage,Police,NY,3,1,0,31700,6340,3170,22190,Toyota,2006,N
85,30,IN,1454.42,MALE,Associate,protective-serv,Single Vehicle Collision,Major Damage,Other,NY,1,0,1,74280,12380,12380,49520,Suburu,2006,Y
233,37,IL,1603.42,FEMALE,High School,sales,Single Vehicle Collision,Total Loss,Fire,NY,1,0,2,80520,13420,6710,60390,Toyota,2005,N
142,30,IN,1616.58,MALE,JD,adm-clerical,Multi-vehicle Collision,Major Damage,Other,SC,3,0,3,63600,6360,12720,44520,Dodge,2010,N
266,44,IL,1611.83,MALE,High School,handlers-cleaners,Single Vehicle Collision,Total Loss,Police,WV,1,1,2,32800,3280,3280,26240,BMW,2012,N
350,50,OH,889.13,FEMALE,Masters,priv-house-serv,Multi-vehicle Collision,Total Loss,Police,PA,3,0,2,44190,9820,4910,29460,Audi,2015,N
97,26,IL,1252.08,MALE,College,exec-managerial,Multi-vehicle Collision,Major Damage,Other,VA,2,2,2,50400,10080,5040,35280,Honda,2000,Y
399,55,IL,995.56,MALE,JD,tech-support,Multi-vehicle Collision,Total Loss,Police,NY,3,1,1,88400,17680,8840,61880,Nissan,2010,N
305,49,IL,1347.92,FEMALE,High School,farming-fishing,Multi-vehicle Collision,Total Loss,Fire,NY,3,0,2,66550,12100,6050,48400,Volkswagen,2003,N
276,47,IN,1724.09,MALE,PhD,craft-repair,Multi-vehicle Collision,Minor Damage,Police,NY,3,0,0,65780,5980,11960,47840,Chevrolet,2014,N
257,40,IN,1379.93,MALE,MD,armed-forces,Multi-vehicle Collision,Major Damage,Other,NY,3,0,2,51810,9420,4710,37680,Audi,2002,Y
78,31,IN,1554.64,MALE,PhD,protective-serv,Single Vehicle Collision,Major Damage,Other,WV,1,1,0,55660,5060,10120,40480,Honda,2009,Y
129,28,OH,1377.94,MALE,Masters,machine-op-inspct,Single Vehicle Collision,Major Damage,Fire,NY,1,2,3,44640,9920,4960,29760,Toyota,2005,N
283,46,IL,1313.33,FEMALE,PhD,transport-moving,Multi-vehicle Collision,Major Damage,Ambulance,NY,3,1,3,77660,7060,14120,56480,Nissan,2004,Y
85,25,IN,1259.02,FEMALE,JD,tech-support,Parked Car,Trivial Damage,None,SC,1,2,2,5640,940,940,3760,Nissan,2005,N
101,26,IL,1371.88,FEMALE,MD,prof-specialty,Parked Car,Trivial Damage,None,VA,1,2,2,3190,580,580,2030,Suburu,1995,N
96,30,OH,1399.27,MALE,College,prof-specialty,Single Vehicle Collision,Total Loss,Fire,NC,1,0,0,53440,0,6680,46760,Ford,2004,N
121,31,IL,1061.98,FEMALE,JD,armed-forces,Single Vehicle Collision,Minor Damage,Police,WV,1,0,1,65250,7250,7250,50750,BMW,2002,N
176,39,OH,1365.46,MALE,College,armed-forces,Multi-vehicle Collision,Minor Damage,Fire,SC,3,2,1,44280,4920,4920,34440,Chevrolet,2008,N
159,37,IL,894.4,MALE,Associate,tech-support,Single Vehicle Collision,Total Loss,Police,NY,1,2,0,70290,7810,7810,54670,Dodge,1999,N
120,30,IN,956.69,FEMALE,Associate,priv-house-serv,Single Vehicle Collision,Minor Damage,Other,NY,1,1,1,87100,8710,8710,69680,Saab,2000,N
212,35,IN,1123.89,MALE,MD,priv-house-serv,Multi-vehicle Collision,Total Loss,Fire,NY,3,1,3,50380,4580,4580,41220,Suburu,1996,N
290,45,IL,1085.03,FEMALE,JD,sales,Multi-vehicle Collision,Total Loss,Police,VA,3,2,2,64800,12960,6480,45360,Audi,2014,Y
299,42,OH,1437.33,FEMALE,Associate,craft-repair,Single Vehicle Collision,Minor Damage,Other,SC,1,1,3,70400,12800,12800,44800,BMW,2000,N
66,26,IL,988.29,MALE,College,armed-forces,Single Vehicle Collision,Major Damage,Police,NY,1,2,2,57860,0,10520,47340,Suburu,2008,Y
334,47,IL,1238.89,MALE,Masters,protective-serv,Vehicle Theft,Minor Damage,None,WV,1,0,3,6240,960,960,4320,Ford,2011,N
216,38,IN,1384.64,FEMALE,Associate,tech-support,Single Vehicle Collision,Total Loss,Police,VA,1,2,3,66600,16650,11100,38850,Jeep,2012,Y
86,28,IN,1595.07,MALE,PhD,transport-moving,Single Vehicle Collision,Minor Damage,Police,VA,1,0,2,70920,11820,11820,47280,Jeep,2002,N
429,56,OH,1127.89,MALE,Associate,machine-op-inspct,Single Vehicle Collision,Minor Damage,Ambulance,WV,1,2,0,39480,6580,6580,26320,Suburu,2002,N
257,43,IN,929.7,FEMALE,PhD,handlers-cleaners,Single Vehicle Collision,Total Loss,Other,VA,1,2,2,63240,10540,5270,47430,Mercedes,2005,N
15,34,IL,1829.63,MALE,JD,tech-support,Multi-vehicle Collision,Total Loss,Other,SC,3,1,0,67650,12300,6150,49200,Audi,2009,N
230,39,IL,904.7,FEMALE,MD,craft-repair,Single Vehicle Collision,Major Damage,Fire,SC,1,1,3,74200,14840,14840,44520,Accura,2002,Y
250,43,OH,1243.84,FEMALE,JD,tech-support,Single Vehicle Collision,Minor Damage,Other,VA,1,1,3,64900,12980,12980,38940,Volkswagen,2011,N
